CustomerID,CustomerName,Age,Gender,AnnualIncome_INR,IncomeCurrency,SpendingScore_1_100,MembershipTier,JoinDate,LastPurchaseDate,VisitFrequency,AvgBasketValue_INR,TotalPurchases,OnlinePurchases,StorePurchases,PreferredCategory,City,Country,EmailProvider,DeviceType,PaymentMethod,LoyaltyPoints,SatisfactionRating_1_5,CouponUsed,ChurnNextMonth
CUST100001,Diya Verma,42,Female,241279,INR,57,Silver,24-02-2024,14-09-2024,RARELY,758.43,40,3,29.5,Beauty,bengaluru,India,gmail.com,android,Credit Card,1438,2,Yes,0
CUST100002,Aditya Nair,52,male,1135484,INR,61,GOLD,,,Weekly,2132.28,7,4,2,SPORTS,PUNE,INDIA,hotmail.com,IOS,upi,865,1,Yes,0
CUST100003,Saanvi Kumar,27,Male,241860,INR,64,Silver,,,RARELY,2269.85,9,0,10,Electronics,lucknow,India,gmail.com,Mobile,UPI,2472,1,yes,0
CUST100004,Vihaan Iyer,27,FEMALE,470187,INR,86,Silver,,,RARELY,723.67,30,26,1,Food Court,Pune,India,gmail.com,android,Credit Card,1700,3,yes,0
CUST100005,Krishna Rao,25,Male,630873,INR,53,basic,,,Monthly,5899.62625,38,21,17,Fashion,Bengaluru,India,hotmail.com,Web,CREDIT CARD,1203,2,Yes,0
CUST100006,Vihaan Iyer,41,MALE,1624964.875,INR,51,Gold,,,Monthly,957.19,10,4,7,gaming,KOLKATA,INDIA,gmail.com,android,Wallet,2332,1,No,0
CUST100007,Reyansh Mehta,9,female,844350,INR,68,Silver,,,weekly,3903.16,13,6,7,Home Decor,Pune,india,outlook.com,IOS,Debit Card,1182,1,No,0
CUST100008,Sai Mishra,27,Male,693450,INR,50,GOLD,,,RARELY,1638.04,0,0,0,food court,Kolkata,India,yahoo.com,Desktop,UPI,855,2,No,0
CUST100009,Myra Nair,22,Female,1020287,INR,88,PLATINUM,06-08-2024,,weekly,5899.62625,9,2,6,food court,AHMEDABAD,India,gmail.com,web,Credit Card,553,3,yes,0
CUST100010,Ishaan Chopra,49,Female,821121,INR,41,GOLD,,,Monthly,2226.43,19,7,12,food court,Pune,INDIA,outlook.com,Android,UPI,1057,5,Yes,0
CUST100011,Sai Sinha,11,FEMALE,837540,INR,67,Basic,26-11-2024,,monthly,283.96,9,1,7,Kids,Bengaluru,india,company.com,iOS,Wallet,412,4,yes,0
CUST100012,Ananya Joshi,63.5,MALE,570610,INR,38,basic,25-11-2024,,Daily,970.5,11,0,12,Kids,JAIPUR,India,gmail.com,iOS,CREDIT CARD,1497,3,Yes,0
CUST100013,Reyansh Rao,33,MALE,609387,INR,74,GOLD,,,Daily,1272.03,5,4,2,FASHION,hyderabad,India,gmail.com,IOS,CREDIT CARD,852,1,No,0
CUST100014,Kiara Kapoor,28,male,1085571,USD,48,PLATINUM,,,Monthly,1276.17,20,16,3,BOOKS,Bengaluru,india,company.com,android,Credit Card,679,4,yes,0
CUST100015,Saanvi Verma,55,Other,444057,INR,62,Silver,,,Weekly,2088.18,7,6,1,home decor,CHENNAI,INDIA,yahoo.com,android,upi,1001,3,No,0
CUST100016,Aadhya Khan,25,FEMALE,213481,INR,23,silver,,,Monthly,1194.35,16,15,1,Fashion,Mumbai,India,gmail.com,Web,Debit Card,613,1,No,0
CUST100017,Vivaan Iyer,39,male,1225084,INR,54,basic,,,Monthly,3803.1,4,2,3,HOME DECOR,BENGALURU,India,gmail.com,android,Debit Card,840,2,No,0
CUST100018,Saanvi Rao,31,FEMALE,651168,INR,32,Gold,,,Weekly,1802.16,6,2,4,Fashion,bengaluru,IN,gmail.com,web,Credit Card,1472,3,Yes,0
CUST100019,Sara Patel,27,Other,1254616,INR,100,Gold,28-11-2023,,Monthly,1709.26,6,1,6,Electronics,ahmedabad,india,gmail.com,IOS,CREDIT CARD,1511,5,Yes,0
CUST100020,Aadhya Khan,17,MALE,619742,INR,25,Basic,,,Monthly,682,2,0,3,Beauty,delhi,India,company.com,Desktop,CREDIT CARD,570,3,yes,1
CUST100021,Amit Patel,30,Female,653437,INR,55,Gold,,,Monthly,806.78,37,16,22,Grocery,mumbai,India,GMAIL.COM,web,upi,848,1,yes,0
CUST100022,Reyansh Joshi,28,male,877245,INR,94,Basic,,,weekly,695,17,4,13,home decor,Kolkata,India,rediffmail.com,IOS,UPI,1826,4,No,0
CUST100023,Saanvi Mehta,49,Other,911335,INR,35,basic,,,weekly,4085.16,4,0,4,Books,Hyderabad,India,outlook.com,android,CREDIT CARD,1355,4,no,0
CUST100024,Vihaan Iyer,39,Female,343253,INR,70,PLATINUM,,17-11-2022,Monthly,932.47,24,6,19,Kids,chenai,India,outlook.com,Desktop,Credit Card,1636,1,No,0
CUST100025,Ananya Singh,44,Female,220648,INR,59,Silver,08-09-2021,,Daily,824.44,1,0,1,Electronics,PUNE,INDIA,yahoo.com,Android,Debit Card,1539,5,No,0
CUST100026,Kiara Singh,53,female,531448,INR,53,Gold,,,Monthly,1834.74,24,11,13,Books,lucknow,India,GMAIL.COM,Mobile,upi,406,4,No,1
CUST100027,Vivaan Kapoor,43,Other,1613314,INR,29,Gold,,,Monthly,3627.07,10,2,8,Beauty,bengaluru,India,GMAIL.COM,web,Credit Card,222,1,Yes,0
CUST100028,Amit Chopra,41,Female,485516,USD,29,basic,,21-08-2025,Rarely,2711.87,15,12,2,Books,Ahmedabad,INDIA,outlook.com,Android,Credit Card,2015,4,Yes,0
CUST100029,Aditya Joshi,25,female,374892,INR,40,PLATINUM,,,Monthly,1814.65,2,1,2,Gaming,ahmedabad,IN,rediffmail.com,IOS,Credit Card,1751,3,yes,0
CUST100030,Reyansh Gupta,43,male,1368516,INR,63,Gold,,30-10-2024,monthly,1894.23,33,8,26,Sports,Mumbai,India,gmail.com,web,Debit Card,1065,2,Yes,0
CUST100031,Rahul Gupta,38,Other,558960,INR,26,basic,05-11-2023,,Rarely,5899.62625,0,0,0,GAMING,PUNE,india,GMAIL.COM,Desktop,CREDIT CARD,2308,4,No,1
CUST100032,Diya Sharma,48,Other,515028,INR,42,Basic,,,monthly,1076.75,34,26,2,FOOD COURT,Lucknow,INDIA,yahoo.com,IOS,Credit Card,1523,5,Yes,0
CUST100033,Pooja Joshi,43,male,867954,USD,59,Platinum,,,Monthly,2423.89,3,2,1,electronics,Jaipur,India,company.com,web,upi,136,2,No,0
CUST100034,Pooja Sinha,53,Male,1033209,INR,48,Gold,,18-08-2024,monthly,1814.65,2,0,2,Kids,Jaipur,india,hotmail.com,IOS,Credit Card,2596,2,No,1
CUST100035,Aditya Verma,28,female,1624964.875,INR,57,Gold,,,RARELY,1158.01,13,3,10,BOOKS,Lucknow,india,gmail.com,web,Debit Card,0,1,Yes,0
CUST100036,Myra Khan,10,FEMALE,1256858,USD,58,basic,28-09-2022,,monthly,3717.51,6,0,6,Home Decor,ahmedabad,IN,yahoo.com,Desktop,Debit Card,490,3,Yes,0
CUST100037,Arjun Rao,29,MALE,542522,INR,71,basic,,,Monthly,2338.02,10,4,6,kids,BENGALURU,india,GMAIL.COM,android,Credit Card,1310,4,Yes,0
CUST100038,Diya Chopra,23,Male,788894,INR,60,Platinum,,,Monthly,1151.93,4,2,3,books,AHMEDABAD,India,outlook.com,iOS,Credit Card,198,3,Yes,0
CUST100039,Ira Patel,15,MALE,560830,INR,48,Gold,,,weekly,2673.45,37,26,9,gaming,ahmedabad,India,gmail.com,iOS,UPI,1738,3,yes,0
